"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\changelog.htm", "HTML", 188, 0, 0, 0, 0, 1, 189
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\__construct.htm", "HTML", 62, 0, 0, 0, 0, 1, 63
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\acceptpagebreak.htm", "HTML", 59, 0, 0, 0, 0, 4, 63
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\addfont.htm", "HTML", 66, 0, 0, 0, 0, 1, 67
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\addlink.htm", "HTML", 24, 0, 0, 0, 0, 1, 25
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\addpage.htm", "HTML", 57, 0, 0, 0, 0, 1, 58
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\aliasnbpages.htm", "HTML", 43, 0, 0, 0, 0, 2, 45
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\cell.htm", "HTML", 101, 0, 0, 0, 0, 1, 102
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\close.htm", "HTML", 21, 0, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\error.htm", "HTML", 26, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\footer.htm", "HTML", 35, 0, 0, 0, 0, 1, 36
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\getpageheight.htm", "HTML", 18, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\getpagewidth.htm", "HTML", 18, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\getstringwidth.htm", "HTML", 23, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\getx.htm", "HTML", 20, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\gety.htm", "HTML", 20, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\header.htm", "HTML", 35, 0, 0, 0, 0, 1, 36
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\image.htm", "HTML", 101, 0, 0, 0, 0, 1, 102
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\index.htm", "HTML", 59, 0, 0, 0, 0, 1, 60
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\line.htm", "HTML", 38, 0, 0, 0, 0, 1, 39
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\link.htm", "HTML", 45, 0, 0, 0, 0, 1, 46
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\ln.htm", "HTML", 27, 0, 0, 0, 0, 2, 29
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\multicell.htm", "HTML", 73, 0, 0, 0, 0, 1, 74
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\output.htm", "HTML", 47, 0, 0, 0, 0, 1, 48
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\pageno.htm", "HTML", 18, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\rect.htm", "HTML", 48, 0, 0, 0, 0, 1, 49
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setauthor.htm", "HTML", 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setautopagebreak.htm", "HTML", 31, 0, 0, 0, 0, 1, 32
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setcompression.htm", "HTML", 29, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setcreator.htm", "HTML", 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setdisplaymode.htm", "HTML", 46, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setdrawcolor.htm", "HTML", 41, 0, 0, 0, 0, 2, 43
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setfillcolor.htm", "HTML", 40, 0, 0, 0, 0, 1, 41
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setfont.htm", "HTML", 72, 0, 0, 0, 0, 1, 73
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setfontsize.htm", "HTML", 25, 0, 0, 0, 0, 1, 26
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setkeywords.htm", "HTML", 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setleftmargin.htm", "HTML", 30, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setlinewidth.htm", "HTML", 28, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setlink.htm", "HTML", 34, 0, 0, 0, 0, 1, 35
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setmargins.htm", "HTML", 36, 0, 0, 0, 0, 1, 37
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setrightmargin.htm", "HTML", 28, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setsubject.htm", "HTML", 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\settextcolor.htm", "HTML", 39, 0, 0, 0, 0, 1, 40
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\settitle.htm", "HTML", 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\settopmargin.htm", "HTML", 28, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setx.htm", "HTML", 28, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\setxy.htm", "HTML", 30, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\sety.htm", "HTML", 33, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\text.htm", "HTML", 37, 0, 0, 0, 0, 1, 38
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\doc\write.htm", "HTML", 50, 0, 0, 0, 0, 1, 51
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\courier.php", "PHP", 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\courierb.php", "PHP", 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\courierbi.php", "PHP", 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\courieri.php", "PHP", 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\helvetica.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\helveticab.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\helveticabi.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\helveticai.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\symbol.php", "PHP", 0, 20, 0, 0, 0, 1, 21
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\times.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\timesb.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\timesbi.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\timesi.php", "PHP", 0, 21, 0, 0, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\font\zapfdingbats.php", "PHP", 0, 20, 0, 0, 0, 1, 21
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\fpdf.css", "CSS", 0, 0, 0, 21, 0, 1, 22
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\fpdf.php", "PHP", 0, 1671, 0, 0, 167, 97, 1935
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\makefont\makefont.php", "PHP", 0, 401, 0, 0, 23, 24, 448
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\makefont\ttfparser.php", "PHP", 0, 648, 0, 0, 21, 46, 715
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\CevicheOne-Regular.php", "PHP", 0, 25, 0, 0, 0, 1, 26
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\index.htm", "HTML", 20, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\makefont.php", "PHP", 0, 4, 0, 0, 1, 2, 7
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto1.htm", "HTML", 79, 0, 0, 0, 0, 2, 81
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto1.php", "PHP", 0, 8, 0, 0, 0, 2, 10
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto2.htm", "HTML", 81, 0, 0, 0, 0, 4, 85
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto2.php", "PHP", 0, 27, 0, 0, 11, 4, 42
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto3.htm", "HTML", 109, 0, 0, 0, 0, 8, 117
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto3.php", "PHP", 0, 55, 0, 0, 19, 8, 82
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto4.htm", "HTML", 122, 0, 0, 0, 0, 11, 133
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto4.php", "PHP", 0, 81, 0, 0, 18, 11, 110
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto5.htm", "HTML", 132, 0, 0, 0, 0, 6, 138
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto5.php", "PHP", 0, 79, 0, 0, 18, 6, 103
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto6.htm", "HTML", 151, 0, 0, 0, 0, 9, 160
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto6.php", "PHP", 0, 95, 0, 0, 10, 9, 114
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto7.htm", "HTML", 178, 0, 0, 0, 0, 7, 185
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\tutorial\tuto7.php", "PHP", 0, 9, 0, 0, 0, 2, 11
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\CerrarSesion.js", "JavaScript", 0, 0, 6, 0, 0, 1, 7
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\EdicionCateg.js", "JavaScript", 0, 0, 9, 0, 0, 0, 9
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\app_ayuda.js", "JavaScript", 0, 0, 9, 0, 0, 2, 11
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\app_index.js", "JavaScript", 0, 0, 3, 0, 0, 3, 6
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\login_index.js", "JavaScript", 0, 0, 136, 0, 19, 26, 181
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\newCategoria.js", "JavaScript", 0, 0, 96, 0, 4, 16, 116
"c:\xampp\htdocs\GrupalTercerParcialAPI\js\nuevProducto.js", "JavaScript", 0, 0, 114, 0, 7, 17, 138
"Total", "-", 3811, 8702, 373, 6687, 1073, 2722, 23368
